Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,69.2,69.24,68.0,68.14,41.1,3371000
2014-01-03,68.19,68.4,67.71,67.92,40.97,2593100
2014-01-06,68.0,68.2,67.66,67.96,40.99,2470000
2014-01-07,68.03,68.53,68.0,68.49,41.31,2772200
2014-01-08,68.33,68.4,67.64,67.85,40.92,3881300
2014-01-09,67.89,68.01,67.45,67.87,40.94,2379900
2014-01-10,68.19,69.5,68.14,68.59,41.37,4036300
2014-01-13,68.04,68.2,67.59,67.77,40.88,3940100
2014-01-14,67.82,68.0,67.53,67.57,40.76,3290600
2014-01-15,67.46,67.67,67.05,67.13,40.49,3473700
2014-01-16,67.25,67.52,67.05,67.36,40.63,3000100
2014-01-17,67.37,67.7,67.2,67.57,40.76,3302500
2014-01-21,67.88,68.58,67.77,68.51,41.32,3029700
2014-01-22,68.5,68.97,68.44,68.65,41.41,2314400
2014-01-23,68.34,68.73,67.97,68.53,41.33,2873700
2014-01-24,68.17,69.33,68.0,68.26,41.17,4705900
2014-01-27,68.3,68.99,68.27,68.73,41.45,3862100
2014-01-28,68.75,68.95,68.47,68.82,41.51,2460900
2014-01-29,68.69,69.31,68.54,68.99,41.61,4436700
2014-01-30,69.14,69.92,69.11,69.89,42.15,3444400
2014-01-31,69.37,70.68,69.35,70.62,42.59,4776100
2014-02-03,70.68,71.75,70.09,70.46,42.5,5425300
2014-02-04,70.69,70.69,69.46,69.94,42.18,3625600
2014-02-05,69.88,69.88,69.28,69.62,41.99,2848800
2014-02-06,69.7,70.11,69.18,70.01,42.23,2774000
2014-02-07,69.68,70.11,69.35,69.99,42.21,3805000
2014-02-10,69.87,70.84,69.52,70.74,42.67,3071500
2014-02-11,70.67,71.48,70.5,71.3,43.0,2631900
2014-02-12,70.44,70.9,70.25,70.87,43.22,2509700
2014-02-13,70.75,71.54,70.63,71.43,43.56,2269900
2014-02-14,71.18,71.6,70.84,71.45,43.57,2784900
2014-02-18,71.76,72.67,71.29,71.5,43.6,4797900
2014-02-19,71.4,72.4,70.72,71.72,43.74,3274600
2014-02-20,71.76,72.12,71.43,71.74,43.75,3481800
2014-02-21,71.61,72.22,71.46,71.49,43.6,2926100
