Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,27.29,27.3,26.67,26.72,18.01,2569500
2014-01-03,26.7,26.77,26.23,26.34,17.76,3155800
2014-01-06,26.42,26.43,25.98,26.17,17.64,3473000
2014-01-07,26.15,26.27,25.92,26.03,17.55,3554500
2014-01-08,25.54,25.96,25.53,25.72,17.34,11659600
2014-01-09,25.83,25.97,25.51,25.9,17.46,6197000
2014-01-10,25.88,26.05,25.74,25.94,17.49,3595400
2014-01-13,25.91,26.09,25.63,25.7,17.33,3709300
2014-01-14,25.76,26.1,25.73,26.06,17.57,4531300
2014-01-15,26.06,26.14,25.87,25.99,17.52,5146500
2014-01-16,26.0,26.0,25.81,25.85,17.43,2160100
2014-01-17,25.9,25.98,25.71,25.73,17.35,2592200
2014-01-21,25.87,25.93,25.64,25.93,17.48,4855000
2014-01-22,25.86,25.9,25.16,25.41,17.13,9021100
2014-01-23,25.26,25.37,25.02,25.19,16.98,8742200
2014-01-24,25.01,25.07,24.79,24.8,16.72,5184400
2014-01-27,23.41,23.52,23.08,23.18,16.63,8702800
2014-01-28,23.15,23.53,23.11,23.46,16.83,5473800
2014-01-29,23.26,23.65,23.23,23.45,16.82,5571200
2014-01-30,23.54,23.61,23.44,23.56,16.9,2493400
2014-01-31,23.35,23.57,23.21,23.24,16.67,4163900
2014-02-03,23.1,23.24,22.57,22.59,16.2,5577700
2014-02-04,22.69,22.8,22.53,22.62,16.23,2723900
2014-02-05,22.57,22.84,22.57,22.6,16.21,3481200
2014-02-06,22.65,22.92,22.56,22.9,16.43,2992900
2014-02-07,23.08,23.2,22.94,23.13,16.59,3135400
2014-02-10,23.08,23.23,23.01,23.18,16.63,2761100
2014-02-11,23.17,23.62,23.16,23.49,16.85,2687300
2014-02-12,23.37,23.58,23.31,23.56,16.9,3679500
2014-02-13,23.42,23.94,23.42,23.85,17.11,3855600
2014-02-14,23.8,24.0,23.8,23.98,17.2,2279700
2014-02-18,23.93,24.06,23.78,23.87,17.12,2536500
2014-02-19,23.73,23.95,23.71,23.75,17.04,2948000
2014-02-20,23.78,24.05,23.59,23.97,17.19,5032700
2014-02-21,23.99,24.12,23.8,23.92,17.16,4811300
2014-02-24,23.89,23.94,23.76,23.76,17.04,4399000
2014-02-25,23.78,23.84,23.62,23.7,17.0,4409400
2014-02-26,23.77,24.09,23.76,23.9,17.14,3668100
2014-02-27,23.86,24.19,23.8,24.18,17.34,2842800
2014-02-28,24.21,24.59,24.13,24.49,17.57,5522700
2014-03-03,24.32,24.33,24.04,24.12,17.3,3392300
2014-03-04,24.38,24.44,24.09,24.22,17.37,3471100
2014-03-05,24.19,24.34,24.11,24.3,17.43,3537300
2014-03-06,24.31,24.56,24.28,24.45,17.54,1880900
2014-03-07,24.56,24.57,24.23,24.45,17.54,2309400
2014-03-10,24.38,24.57,24.38,24.5,17.57,3189400
